row,nameInMMS,nameInBag
237,myd_mgzto7944_v02f02_em,myd_mgzto7944_v02f02_em
238,myd_mgzto7944_v02f01_em,myd_mgzto7944_v02f01_sc
239,myd_mgzto7944_v02f01_em,myd_mgzto7944_v02f01_em
240,myd_mgzto7944_v02f01_em,myd_mgzto7944_v02f01_pm
241,myd_mgzto7944_v01f02_em,myd_mgzto7944_v01f02_sc
242,myd_mgzto7944_v01f02_em,myd_mgzto7944_v01f02_pm
243,myd_mgzto7944_v01f02_em,myd_mgzto7944_v01f02_em
244,myd_mgzto7944_v01f01_em,myd_mgzto7944_v01f01_pm
245,myd_mgzto7944_v01f01_em,myd_mgzto7944_v01f01_sc
246,myd_mgzto7944_v01f01_em,myd_mgzto7944_v01f01_em
247,myd_mgzto793_v01f01_em,myd_mgzto793_v01f01_sc
248,myd_mgzto793_v01f01_em,myd_mgzto793_v01f01_pm
249,myd_mgzto793_v01f01_em,myd_mgzto793_v01f01_em
250,myd_mgzto7933_v03f01_em,myd_mgzto7933_v03f01_sc
251,myd_mgzto7933_v03f01_em,myd_mgzto7933_v03f01_em
252,myd_mgzto7933_v03f01_em,myd_mgzto7933_v03f01_pm
253,myd_mgzto7933_v02f01_em,myd_mgzto7933_v02f01_sc
254,myd_mgzto7933_v02f01_em,myd_mgzto7933_v02f01_em
255,myd_mgzto7933_v02f01_em,myd_mgzto7933_v02f01_pm
256,myd_mgzto7933_v01f01_em,myd_mgzto7933_v01f01_sc
257,myd_mgzto7933_v01f01_em,myd_mgzto7933_v01f01_pm
258,myd_mgzto7933_v01f01_em,myd_mgzto7933_v01f01_em
259,myd_mgzto792_v01f01_em,myd_mgzto792_v01f01_pm
260,myd_mgzto792_v01f01_em,myd_mgzto792_v01f01_sc
261,myd_mgzto792_v01f01_em,myd_mgzto792_v01f01_em
262,myd_mgzto791_v01f01_em,myd_mgzto791_v01f01_pm
263,myd_mgzto791_v01f01_em,myd_mgzto791_v01f01_sc
264,myd_mgzto791_v01f01_em,myd_mgzto791_v01f01_em
265,myd_mgzto790_v01f01_em,myd_mgzto790_v01f01_sc
266,myd_mgzto790_v01f01_em,myd_mgzto790_v01f01_em
267,myd_mgzto790_v01f01_em,myd_mgzto790_v01f01_pm
268,myd_mgzto78_v01f01_em,myd_mgzto78_v01f01_pm
269,myd_mgzto78_v01f01_em,myd_mgzto78_v01f01_sc
270,myd_mgzto78_v01f01_em,myd_mgzto78_v01f01_em
271,myd_mgzto789_v01f01_em,myd_mgzto789_v01f01_pm
272,myd_mgzto789_v01f01_em,myd_mgzto789_v01f01_sc
273,myd_mgzto789_v01f01_em,myd_mgzto789_v01f01_em
274,myd_mgzto786_v01f01_em,myd_mgzto786_v01f01_sc
275,myd_mgzto786_v01f01_em,myd_mgzto786_v01f01_pm
276,myd_mgzto786_v01f01_em,myd_mgzto786_v01f01_em
277,myd_mgzto785_v01f01_em,myd_mgzto785_v01f01_sc
278,myd_mgzto785_v01f01_em,myd_mgzto785_v01f01_pm
279,myd_mgzto785_v01f01_em,myd_mgzto785_v01f01_em
280,myd_mgzto784_v01f01_em,myd_mgzto784_v01f01_sc
281,myd_mgzto784_v01f01_em,myd_mgzto784_v01f01_em
282,myd_mgzto784_v01f01_em,myd_mgzto784_v01f01_pm
283,myd_mgzto783_v01f01_em,myd_mgzto783_v01f01_sc
284,myd_mgzto783_v01f01_em,myd_mgzto783_v01f01_pm
285,myd_mgzto783_v01f01_em,myd_mgzto783_v01f01_em
